Index,Expression,Success_P,Avg_Time_P,Std_Time_P,Success_S,Avg_Time_S,Std_Time_S
1,(0.01+131.54),0,8.18,2.14325,0,1.87,0.719919
2,((755.61+458.65)+532.77),0,9.18,0.833394,0,2.24,0.53409
3,(((218.96+47.04)+678.86)+679.30),0,10.52,0.958534,0,2.72,0.725857
4,((((934.69+383.50)+519.42)+830.97)+34.57),0,12.72,0.899832,0,3.19,0.597892
5,(((((53.46+529.70)+671.15)+7.70)+383.42)+66.84),0,13.91,1.66421,0,3.74,0.74698
6,((((((417.49+686.77)+588.98)+930.44)+846.17)+526.93)+91.96),0,15.03,1.06794,0,4.2,0.864566
7,(((((((653.92+416.00)+701.19)+910.32)+762.20)+262.45)+47.46)+736.08),0,17.44,1.94011,0,4.87,0.895048
8,((((((((328.23+632.64)+756.41)+991.04)+365.34)+247.04)+982.55)+722.66)+753.36),0,20.03,1.90404,0,5.33,0.792069
9,(((((((((651.52+72.69)+631.63)+884.71)+272.71)+436.41)+766.49)+477.73)+237.77)+274.91),0,19.69,0.860995,0,5.57,0.742028
10,((((((((((359.26+166.51)+486.52)+897.66)+909.21)+60.56)+904.65)+504.52)+516.29)+319.03)+986.64),0,21.45,1.3133,0,6.02,0.619221
11,(((((((((((493.98+266.14)+90.73)+947.76)+73.75)+500.71)+384.14)+277.08)+913.82)+529.75)+464.45)+940.98),0,23.28,1.77001,0,6.75,1.86068
12,((((((((((((50.08+761.51)+770.20)+827.82)+125.37)+15.87)+688.46)+868.25)+629.54)+736.22)+725.41)+999.46)+888.57),0,22.1,3.0666,0,6.66,1.58414
13,(((((((((((((233.19+306.32)+351.02)+513.27)+591.11)+845.98)+412.08)+841.51)+269.32)+415.39)+537.30)+467.92)+287.21)+178.33),0,21.32,2.34361,0,6.3,0.611341
14,((((((((((((((153.72+571.65)+802.41)+33.05)+534.45)+498.48)+955.36)+748.29)+554.58)+890.74)+624.85)+842.04)+159.77)+212.75)+714.71),0,21.76,0.888989,0,6.5,0.559581
15,(((((((((((((((130.43+90.99)+274.59)+3.00)+414.29)+26.88)+709.82)+937.90)+239.91)+180.90)+317.54)+886.99)+652.06)+150.34)+681.35)+385.81),0,22.81,1.04151,0,7.09,1.63975
16,((((((((((((((((387.73+499.74)+147.53)+587.19)+845.58)+590.11)+955.41)+556.15)+148.15)+983.31)+408.77)+141.82)+564.90)+252.13)+488.51)+464.03)+961.10),0,24.96,1.23844,0,7.19,0.419114
17,(((((((((((((((((126.03+199.76)+319.25)+629.27)+126.71)+651.25)+621.63)+803.07)+247.84)+476.43)+389.31)+203.25)+28.38)+901.67)+426.50)+142.02)+947.49)+410.31),0,26,0.953463,0,7.68,0.617588
18,((((((((((((((((((131.19+885.65)+92.17)+162.20)+71.06)+365.34)+253.06)+135.11)+783.15)+455.31)+349.52)+452.30)+808.94)+931.67)+651.65)+215.25)+679.59)+908.92)+250.13),0,27.13,0.949801,0,7.96,0.650097
19,(((((((((((((((((((860.86+471.26)+505.96)+600.39)+817.56)+755.84)+462.24)+951.37)+632.74)+439.33)+824.70)+688.98)+702.21)+987.15)+954.41)+851.27)+289.32)+537.43)+514.43)+103.43),0,28.14,0.99514,0,8.39,0.548552
20,((((((((((((((((((((414.03+576.72)+876.57)+440.04)+729.75)+869.26)+715.64)+800.72)+706.54)+741.72)+19.09)+886.03)+524.99)+463.32)+65.19)+713.42)+488.94)+667.68)+682.05)+199.55)+916.63),0,29.31,1.06073,0,8.73,0.664466
21,(((((((((((((((((((((865.88+890.02)+543.95)+139.19)+450.35)+989.36)+215.53)+446.02)+315.73)+514.66)+881.50)+439.73)+467.53)+806.65)+365.16)+211.52)+999.12)+153.60)+630.49)+616.35)+0.60)+0.88),0,30.9,2.22701,0,9.17,0.603943
22,((((((((((((((((((((((773.35+727.33)+319.18)+417.72)+682.49)+680.56)+205.26)+836.42)+708.92)+828.71)+94.55)+81.74)+764.00)+629.57)+213.85)+213.55)+81.06)+388.82)+952.16)+947.54)+389.85)+269.21)+692.17),0,31.51,1.38895,0,9.51,0.64346
23,(((((((((((((((((((((((284.04+776.87)+783.87)+422.46)+282.16)+193.97)+11.32)+191.82)+983.24)+244.05)+819.73)+136.45)+398.14)+601.01)+176.88)+828.35)+157.73)+987.94)+257.17)+233.60)+101.64)+219.41)+634.72)+696.01),0,32.14,1.83688,0,9.75,1.45904
24,((((((((((((((((((((((((794.77+696.24)+752.94)+669.52)+633.43)+56.44)+598.22)+227.01)+318.78)+699.83)+117.44)+762.57)+526.12)+553.91)+587.99)+329.67)+702.99)+143.05)+161.69)+485.33)+860.23)+813.27)+556.84)+739.00)+316.01),0,30.27,3.56995,0,9.18,0.71605
25,(((((((((((((((((((((((((135.33+528.55)+310.74)+588.12)+518.08)+430.85)+258.84)+370.23)+393.02)+446.87)+475.90)+387.83)+279.29)+78.26)+369.74)+253.92)+671.78)+676.24)+513.94)+728.61)+720.77)+944.75)+460.70)+940.16)+321.56)+460.43),0,28.49,1.61742,0,8.72,0.711805
26,((((((((((((((((((((((((((517.15+661.36)+401.83)+605.64)+986.50)+150.39)+670.10)+343.82)+541.71)+522.81)+829.24)+14.95)+274.21)+642.98)+546.14)+917.85)+266.61)+970.09)+246.73)+843.98)+694.02)+455.75)+817.10)+22.08)+160.75)+706.95)+707.83),0,29.4,1.25529,0,9.09,0.697687
27,(((((((((((((((((((((((((((436.64+582.42)+751.71)+991.53)+695.68)+279.51)+753.86)+171.18)+4.25)+495.69)+79.92)+163.08)+903.30)+782.99)+746.68)+436.43)+6.34)+584.79)+518.48)+66.85)+544.02)+389.73)+215.83)+385.77)+626.86)+659.05)+709.32)+538.66),0,31.02,5.6586,0,9.47,0.744746
28,((((((((((((((((((((((((((((280.29+815.93)+371.91)+686.10)+310.17)+9.35)+103.80)+520.96)+775.88)+220.69)+55.28)+70.63)+160.27)+723.76)+297.02)+50.60)+477.80)+457.16)+519.99)+446.49)+150.31)+285.94)+833.68)+695.64)+577.78)+681.16)+331.17)+57.48)+986.88),0,30.96,0.875249,0,9.75,0.715979
29,(((((((((((((((((((((((((((((542.39+1.66)+856.19)+29.36)+377.55)+489.65)+576.17)+738.96)+679.33)+536.27)+35.59)+122.51)+973.36)+188.28)+351.32)+614.13)+607.61)+125.93)+552.86)+954.03)+356.92)+838.10)+974.25)+259.01)+251.53)+424.34)+813.05)+897.91)+244.59)+760.62),0,31.83,0.954045,0,10.06,0.708106
30,((((((((((((((((((((((((((((((694.86+451.85)+263.62)+665.50)+116.57)+209.56)+113.68)+546.97)+6.08)+175.97)+599.36)+431.91)+82.51)+687.41)+375.31)+836.21)+123.64)+973.35)+29.64)+80.35)+494.24)+769.44)+934.03)+250.16)+359.66)+769.11)+499.96)+749.25)+671.90)+681.67)+756.77),0,32.62,0.77564,0,10.5,1.05887
31,(((((((((((((((((((((((((((((((36.37+230.57)+221.67)+562.60)+652.62)+616.61)+371.47)+224.80)+233.69)+653.01)+165.93)+744.10)+159.76)+47.64)+661.99)+124.94)+949.16)+484.18)+621.05)+914.02)+17.94)+593.55)+721.87)+496.58)+53.69)+441.63)+519.17)+771.94)+65.36)+442.79)+977.18)+467.74),0,34.79,7.41319,0,10.87,1.67968
